model_key,model_label,scenario_id,blueprint,case_family,case_source,scenario_passed,conversation_score
base_openai,Base OpenAI,scenario_001,voltage_rank_add_scale_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_002,voltage_rank_add_scale_plot,ieee14,builtin,False,50.5
base_openai,Base OpenAI,scenario_003,voltage_rank_add_scale_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_004,voltage_rank_add_scale_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_005,threshold_slack_add_extremes,ieee14,builtin,False,48.2567
base_openai,Base OpenAI,scenario_006,threshold_slack_add_extremes,ieee14,builtin,False,53.53
base_openai,Base OpenAI,scenario_007,threshold_slack_add_extremes,ieee14,builtin,False,48.2567
base_openai,Base OpenAI,scenario_008,threshold_slack_add_extremes,ieee14,builtin,False,48.2567
base_openai,Base OpenAI,scenario_009,extremes_pv_scale_barplot,ieee14,builtin,False,46.59
base_openai,Base OpenAI,scenario_010,extremes_pv_scale_barplot,ieee14,builtin,False,46.59
base_openai,Base OpenAI,scenario_011,extremes_pv_scale_barplot,ieee14,builtin,False,46.59
base_openai,Base OpenAI,scenario_012,low_buses_add_slack_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_013,low_buses_add_slack_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_014,low_buses_add_slack_plot,ieee14,builtin,False,48.8333
base_openai,Base OpenAI,scenario_015,voltage_rank_add_scale_plot,ieee14,uploaded,False,50.5
base_openai,Base OpenAI,scenario_016,voltage_rank_add_scale_plot,ieee14,uploaded,False,50.5
base_openai,Base OpenAI,scenario_017,voltage_rank_add_scale_plot,ieee14,uploaded,False,37.9233
base_openai,Base OpenAI,scenario_018,voltage_rank_add_scale_plot,ieee14,uploaded,False,50.5
base_openai,Base OpenAI,scenario_019,threshold_slack_add_extremes,ieee14,uploaded,False,48.2567
base_openai,Base OpenAI,scenario_020,threshold_slack_add_extremes,ieee14,uploaded,False,48.2567
base_openai,Base OpenAI,scenario_021,threshold_slack_add_extremes,ieee14,uploaded,False,48.2567
base_openai,Base OpenAI,scenario_022,threshold_slack_add_extremes,ieee14,uploaded,False,48.2567
base_openai,Base OpenAI,scenario_023,extremes_pv_scale_barplot,ieee14,uploaded,False,46.59
base_openai,Base OpenAI,scenario_024,extremes_pv_scale_barplot,ieee14,uploaded,False,53.3333
base_openai,Base OpenAI,scenario_025,extremes_pv_scale_barplot,ieee14,uploaded,False,46.59
base_openai,Base OpenAI,scenario_026,low_buses_add_slack_plot,ieee14,uploaded,False,45.1967
base_openai,Base OpenAI,scenario_027,low_buses_add_slack_plot,ieee14,uploaded,False,48.8333
base_openai,Base OpenAI,scenario_028,low_buses_add_slack_plot,ieee14,uploaded,False,48.8333
base_openai,Base OpenAI,scenario_029,voltage_rank_add_scale_plot,ieee39,builtin,False,38.8333
base_openai,Base OpenAI,scenario_030,voltage_rank_add_scale_plot,ieee39,builtin,False,48.8333
base_openai,Base OpenAI,scenario_031,voltage_rank_add_scale_plot,ieee39,builtin,False,50.5
base_openai,Base OpenAI,scenario_032,voltage_rank_add_scale_plot,ieee39,builtin,False,48.8333
base_openai,Base OpenAI,scenario_033,threshold_slack_add_extremes,ieee39,builtin,False,48.2567
base_openai,Base OpenAI,scenario_034,threshold_slack_add_extremes,ieee39,builtin,False,48.2567
base_openai,Base OpenAI,scenario_035,threshold_slack_add_extremes,ieee39,builtin,False,48.2567
base_openai,Base OpenAI,scenario_036,threshold_slack_add_extremes,ieee39,builtin,False,38.2567
base_openai,Base OpenAI,scenario_037,extremes_pv_scale_barplot,ieee39,builtin,False,46.59
base_openai,Base OpenAI,scenario_038,extremes_pv_scale_barplot,ieee39,builtin,False,46.59
