model_key,model_label,scenario_id,blueprint,case_family,case_source,turn_id,turn_passed,score_total,format_score,grounding_score,continuity_score,execution_score,semantic_score,artifact_score,format_valid,execution_passed,semantic_passed,artifact_passed,response_used_fallback,failure_categories
base_openai,Base OpenAI,scenario_001,voltage_rank_add_scale_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_001,voltage_rank_add_scale_plot,ieee14,builtin,2,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_001,voltage_rank_add_scale_plot,ieee14,builtin,3,False,40.91,10.0,20.0,10.91,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_002,voltage_rank_add_scale_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_002,voltage_rank_add_scale_plot,ieee14,builtin,2,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_002,voltage_rank_add_scale_plot,ieee14,builtin,3,False,45.91,10.0,25.0,10.91,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_003,voltage_rank_add_scale_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_003,voltage_rank_add_scale_plot,ieee14,builtin,2,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_003,voltage_rank_add_scale_plot,ieee14,builtin,3,False,40.91,10.0,20.0,10.91,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_004,voltage_rank_add_scale_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_004,voltage_rank_add_scale_plot,ieee14,builtin,2,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_004,voltage_rank_add_scale_plot,ieee14,builtin,3,False,40.91,10.0,20.0,10.91,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_005,threshold_slack_add_extremes,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_005,threshold_slack_add_extremes,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_005,threshold_slack_add_extremes,ieee14,builtin,3,False,41.59,10.0,20.59,6.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,continuity,execution,semantic"
base_openai,Base OpenAI,scenario_006,threshold_slack_add_extremes,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_006,threshold_slack_add_extremes,ieee14,builtin,2,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_006,threshold_slack_add_extremes,ieee14,builtin,3,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_007,threshold_slack_add_extremes,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_007,threshold_slack_add_extremes,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_007,threshold_slack_add_extremes,ieee14,builtin,3,False,41.59,10.0,20.59,6.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,continuity,execution,semantic"
base_openai,Base OpenAI,scenario_008,threshold_slack_add_extremes,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_008,threshold_slack_add_extremes,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_008,threshold_slack_add_extremes,ieee14,builtin,3,False,41.59,10.0,20.59,6.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,continuity,execution,semantic"
base_openai,Base OpenAI,scenario_009,extremes_pv_scale_barplot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_009,extremes_pv_scale_barplot,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_009,extremes_pv_scale_barplot,ieee14,builtin,3,False,36.59,10.0,20.59,6.0,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_010,extremes_pv_scale_barplot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_010,extremes_pv_scale_barplot,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_010,extremes_pv_scale_barplot,ieee14,builtin,3,False,36.59,10.0,20.59,6.0,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_011,extremes_pv_scale_barplot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_011,extremes_pv_scale_barplot,ieee14,builtin,2,False,48.18,10.0,18.18,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_011,extremes_pv_scale_barplot,ieee14,builtin,3,False,36.59,10.0,20.59,6.0,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_012,low_buses_add_slack_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
base_openai,Base OpenAI,scenario_012,low_buses_add_slack_plot,ieee14,builtin,2,False,50.59,10.0,20.59,15.0,0.0,0.0,5.0,True,False,False,True,False,"grounding,execution,semantic"
base_openai,Base OpenAI,scenario_012,low_buses_add_slack_plot,ieee14,builtin,3,False,40.91,10.0,20.0,10.91,0.0,0.0,0.0,True,False,False,False,False,"grounding,continuity,execution,semantic,artifact"
base_openai,Base OpenAI,scenario_013,low_buses_add_slack_plot,ieee14,builtin,1,False,55.0,10.0,25.0,15.0,0.0,0.0,5.0,True,False,False,True,False,"execution,semantic"
